"","dspId","numpoints"
"435",921,12
"436",923,222
"437",926,966
"438",927,76
"439",929,66
"440",930,121
"441",933,7
"442",935,141
"443",936,70
"444",940,2520
"445",943,68
"446",946,39
"447",947,3
"448",949,2556
"449",950,2134
"450",951,722
"451",953,1692
"452",954,23
"453",955,1737
"454",956,5
"455",959,15
"456",960,1993
"457",961,1393
"458",962,869
"459",963,1410
"460",965,1114
"461",966,2
"462",967,2048
"463",968,46
"464",969,1300
"465",979,1408
"466",980,2439
"467",981,1623
"468",982,1684
"469",984,1225
"470",985,1987
"471",986,5
"472",987,754
"473",989,2744
"474",990,4179
"475",991,9
"476",992,11
"477",997,259
"478",1007,27
"479",1008,417
"480",1009,278
"481",1012,37
"482",1014,1783
"483",1015,138
"484",1024,625
"485",1025,275
"486",1026,1076
"487",1027,233
"488",1029,10365
"489",1031,1065
