xDId,xDNumPoints,xDUsuId,xDSdk,xDSerie,xDAndroV,xDManufact
805,5660,809,24,SM-G920I,Nougat - 7,Samsung
990,4179,990,22,SM-G800F,Lollipop - 5,Samsung
991,9,991,27,SM-J710MN,Oreo - 8,Samsung
657,12701,664,24,G3313,Nougat - 7,Sony
627,7956,634,23,SM-G532M,Marshmallow - 6,Samsung
536,17624,545,23,SM-G532M,Marshmallow - 6,Samsung
602,20197,609,24,Vivo 8,Nougat - 7,Blu
1007,27,1007,27,SNE-LX3,Oreo - 8,Huawei
1008,417,1008,22,SM-J320M,Lollipop - 5,Samsung
1009,278,1009,22,SM-J111M,Lollipop - 5,Samsung
1012,37,1012,22,HUAWEI CUN-U29,Lollipop - 5,Huawei
1014,1783,227,21,SM-G900V,Lollipop - 5,Samsung
757,19144,762,24,SM-G610M,Nougat - 7,Samsung
293,42266,302,23,SM-G532M,Marshmallow - 6,Samsung
295,28566,304,24,Redmi Note 4,Nougat - 7,Xiaomi
1026,1076,1025,21,SM-G900V,Lollipop - 5,Samsung
1027,233,1026,22,SM-G800F,Lollipop - 5,Samsung
1029,10365,1028,26,SM-G955F,Oreo - 8,Samsung
1031,1065,1030,22,SM-T285,Lollipop - 5,Samsung
