,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2019-10-01 14:39:03.860000000,-0.2334653,-78.54108339999999,24,,2019101,tld20,2019-10-01,POINT (-78.54134449999999 -0.2335005),0 days 00:17:35.895000064,17.598250001066667,0,0,2019-10-01 15:05:43.858000128
1,2019-10-01 15:05:43.858000128,-0.2589363,-78.538578,1100,,2019101,tld20,2019-10-01,POINT (-78.538578 -0.2589363),0 days 00:06:18.963000064,6.316050001066667,0,0,2019-10-01 19:14:28.639000064
2,2019-10-01 19:14:28.639000064,-0.2399546,-78.5307681,1000,,2019101,tld20,2019-10-01,POINT (-78.5307681 -0.2399546),0 days 02:07:19.598000128,127.32663333546667,0,1,2019-10-01 19:20:50.073999872
3,2019-10-01 19:20:50.073999872,-0.2413944,-78.5339631,800,,2019101,tld20,2019-10-01,POINT (-78.53396309999999 -0.2413944),0 days 00:06:21.434999808,6.357249996800001,0,1,2019-10-01 19:26:31.816999936
4,2019-10-01 19:31:11.244999936,-0.2552009,-78.5417727,1000,,2019101,tld20,2019-10-01,POINT (-78.5417727 -0.2552009),0 days 00:04:39.428000,4.657133333333333,0,1,2019-10-01 19:40:27.904000000
0,2019-10-02 08:28:59.644000000,-0.2334653,-78.54120075,24,,2019102,tld20,2019-10-02,POINT (-78.54087 -0.2328686),0 days 00:06:15.853000192,6.264216669866667,1,0,2019-10-02 09:01:17.052999936
1,2019-10-02 09:01:17.052999936,-0.2399546,-78.5307681,1000,,2019102,tld20,2019-10-02,POINT (-78.5307681 -0.2399546),0 days 00:22:43.925999872,22.73209999786667,1,0,2019-10-02 09:31:25.936000000
2,2019-10-02 09:31:25.936000000,-0.19698919999999998,-78.50218605,899,,2019102,tld20,2019-10-02,POINT (-78.5023636 -0.1968458),0 days 00:08:18.756000,8.3126,1,1,2019-10-02 09:41:54.896000000
3,2019-10-02 09:41:54.896000000,-0.2008647,-78.5020085,1100,,2019102,tld20,2019-10-02,POINT (-78.5020085 -0.2008647),0 days 00:02:10.204000,2.1700666666666666,1,1,2019-10-02 09:49:38.344000000
4,2019-10-02 09:49:38.344000000,-0.19848480000000002,-78.5035267,16,,2019102,tld20,2019-10-02,POINT (-78.50293929999999 -0.1986714),0 days 00:19:10.872999936,19.1812166656,1,1,2019-10-02 11:50:02.954999808
5,2019-10-02 11:57:16.161999872,-0.2005796,-78.5048493,600,,2019102,tld20,2019-10-02,POINT (-78.5048493 -0.2005796),0 days 00:02:08.440999936,2.1406833322666667,1,2,2019-10-02 12:05:46.988000000
6,2019-10-02 12:05:46.988000000,-0.1983913,-78.5039788,400,,2019102,tld20,2019-10-02,POINT (-78.5027187 -0.1985685),0 days 00:02:15.349999872,2.2558333312000003,1,3,2019-10-02 13:25:08.868000000
7,2019-10-02 13:30:36.408000000,-0.2046,-78.5059146,699,,2019102,tld20,2019-10-02,POINT (-78.5059146 -0.2046),0 days 00:03:24.550999808,3.409183330133333,1,3,2019-10-02 13:58:09.755000064
8,2019-10-02 13:58:09.755000064,-0.2425515,-78.5424827,1299,,2019102,tld20,2019-10-02,POINT (-78.54248269999999 -0.2425515),0 days 00:27:33.347000064,27.555783334400004,1,3,2019-10-02 14:05:56.614000128
0,2019-10-03 07:36:45.380000000,-0.233305,-78.5406919,47,,2019103,tld20,2019-10-03,POINT (-78.5406919 -0.233305),0 days 00:31:16.004000,31.266733333333335,2,0,2019-10-03 08:01:18.216999936
1,2019-10-03 08:01:18.216999936,-0.24052944999999998,-78.5307681,1000,,2019103,tld20,2019-10-03,POINT (-78.5307681 -0.2399546),0 days 00:10:50.756999936,10.845949998933333,2,0,2019-10-03 08:14:49.793999872
2,2019-10-03 08:14:49.793999872,-0.2376558,-78.5314781,1399,,2019103,tld20,2019-10-03,POINT (-78.5314781 -0.2376558),0 days 00:02:40.820000,2.680333333333334,2,0,2019-10-03 08:40:19.908999936
3,2019-10-03 08:46:38.609999872,-0.1982736,-78.5040707,17,,2019103,tld20,2019-10-03,POINT (-78.50322250000001 -0.1985619),0 days 00:02:03.025999872,2.0504333312000003,2,1,2019-10-03 10:52:01.892999936
4,2019-10-03 10:52:01.892999936,-0.2410044,-78.5325609,17,,2019103,tld20,2019-10-03,POINT (-78.53256089999999 -0.2410044),0 days 00:46:36.124999936,46.60208333226667,2,2,2019-10-03 11:09:31.438999808
0,2019-10-04 11:24:09.134000128,-0.2544368,-78.5394611,1732,,2019104,tld20,2019-10-04,POINT (-78.5394611 -0.2544368),0 days 01:00:12.111000064,60.20185000106667,3,0,2019-10-04 11:39:25.855000064
1,2019-10-04 11:39:25.855000064,-0.23343619999999998,-78.54098985,50,,2019104,tld20,2019-10-04,POINT (-78.54136219999999 -0.2335231),0 days 00:02:00.038000128,2.000633335466667,3,0,2019-10-04 17:16:32.229000192
2,2019-10-04 17:16:32.229000192,-0.2365095,-78.5353831,1299,,2019104,tld20,2019-10-04,POINT (-78.5353831 -0.2365095),0 days 02:36:23.168000,156.38613333333336,3,1,2019-10-04 17:22:31.137000192
0,2019-10-06 00:18:44.457999872,-0.2334725,-78.5412153,54,,2019106,tld20,2019-10-06,POINT (-78.5412153 -0.2334725),0 days 06:56:11.705999872,416.19509999786675,5,1,2019-10-06 08:51:01.721999872
1,2019-10-06 08:51:01.721999872,-0.2652757,-78.5517113,1299,,2019106,tld20,2019-10-06,POINT (-78.55171129999999 -0.2652757),0 days 00:20:14.836000,20.24726666666667,5,1,2019-10-06 11:54:51.232000000
2,2019-10-06 11:56:45.549999872,-0.2450291,-78.5420366,1424,,2019106,tld20,2019-10-06,POINT (-78.5420366 -0.2450291),0 days 00:01:54.317999872,1.9052999978666667,5,2,2019-10-06 12:12:55.397000192
3,2019-10-06 12:12:55.397000192,-0.2399546,-78.5307681,1000,,2019106,tld20,2019-10-06,POINT (-78.5307681 -0.2399546),0 days 00:16:09.847000320,16.164116672,5,2,2019-10-06 12:28:45.504000000
4,2019-10-06 12:28:45.504000000,-0.2425515,-78.5424827,1299,,2019106,tld20,2019-10-06,POINT (-78.54248269999999 -0.2425515),0 days 00:15:50.106999808,15.835116663466668,5,2,2019-10-06 15:48:25.020000000
0,2019-10-07 14:44:39.525000192,-0.2544627,-78.5394391,1744,,2019107,tld20,2019-10-07,POINT (-78.5394391 -0.2544627),0 days 03:32:28.032000256,212.46720000426666,6,0,2019-10-07 14:54:50.933000192
0,2019-10-08 06:27:35.625999872,-0.2247716,-78.5324225,135,,2019108,tld20,2019-10-08,POINT (-78.5324225 -0.2247716),0 days 00:32:16.586999808,32.276449996800004,7,0,2019-10-08 06:33:38.645999872
0,2019-10-10 12:01:50.329999872,-0.23347125000000002,-78.5410176,31,,20191010,tld20,2019-10-10,POINT (-78.54073769999999 -0.2332466),0 days 01:31:56.574999808,91.94291666346666,9,2,2019-10-10 18:28:28.091000064
0,2019-10-11 09:46:03.440000000,-0.2416793,-78.5305337,16,,20191011,tld20,2019-10-11,POINT (-78.53053370000001 -0.2416793),0 days 01:12:20.328999936,72.3388166656,10,0,2019-10-11 10:01:42.576000000
1,2019-10-11 10:01:42.576000000,-0.2336379,-78.5414254,57,,20191011,tld20,2019-10-11,POINT (-78.54133469999999 -0.2333872),0 days 00:17:10.095000064,17.168250001066667,10,1,2019-10-11 20:05:02.141999872
0,2019-10-12 06:53:11.434000128,-0.23344745,-78.54109235,33,,20191012,tld20,2019-10-12,POINT (-78.5408527 -0.2333861),0 days 00:09:32.236999936,9.537283332266668,11,0,2019-10-12 07:32:26.045000192
1,2019-10-12 07:34:58.644999936,-0.2335581,-78.5411796,56,,20191012,tld20,2019-10-12,POINT (-78.54117960000001 -0.2335581),0 days 00:02:32.599999744,2.543333329066667,11,0,2019-10-12 13:21:13.482000128
2,2019-10-12 13:21:13.482000128,-0.2540428,-78.5328981,1600,,20191012,tld20,2019-10-12,POINT (-78.5328981 -0.2540428),0 days 01:11:40.731000320,71.67885000533333,11,1,2019-10-12 13:32:04.710000128
3,2019-10-12 13:32:04.710000128,-0.233668,-78.5412025,17,,20191012,tld20,2019-10-12,POINT (-78.54112069999999 -0.233758),0 days 00:19:47.764999936,19.79608333226667,11,1,2019-10-12 15:04:51.676000000
0,2019-10-13 09:44:20.857000192,-0.23331815,-78.5408965,33,,20191013,tld20,2019-10-13,POINT (-78.54073769999999 -0.2332466),0 days 00:02:05.444000,2.0907333333333336,12,0,2019-10-13 09:49:46.172000000
1,2019-10-13 09:54:42.326999808,-0.2334732,-78.5411945,58,,20191013,tld20,2019-10-13,POINT (-78.5411945 -0.2334732),0 days 00:04:56.154999808,4.935916663466667,12,0,2019-10-13 13:31:26.385999872
