,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2015-11-19 06:26:59.115000064,-0.088238175,-78.50933197500001,26,,20151119,tld24,2015-11-19,POINT (-78.5093282 -0.0883261),0 days 00:02:02.430999808,2.0405166634666667,9,1,2015-11-19 11:40:13.250999808
0,2017-03-11 16:05:54.210000128,-0.0856287,-78.5084002,1200,,2017311,tld24,2017-03-11,POINT (-78.5084002 -0.0856287),0 days 02:04:10.707000064,124.17845000106668,10,0,2017-03-11 16:21:14.727000064
1,2017-03-11 16:25:52.910000128,-0.0853425,-78.5080452,1100,,2017311,tld24,2017-03-11,POINT (-78.5080452 -0.0853423),0 days 00:02:00.021000192,2.0003500032,10,0,2017-03-11 16:36:25.908000000
2,2017-03-11 16:36:25.908000000,-0.0837322,-78.5076013,1100,,2017311,tld24,2017-03-11,POINT (-78.5080452 -0.0853423),0 days 00:03:56.732000256,3.9455333376,10,0,2017-03-11 17:22:44.161999872
3,2017-03-11 17:22:44.161999872,-0.0853425,-78.5084002,1100,,2017311,tld24,2017-03-11,POINT (-78.5084002 -0.0853425),0 days 00:02:01.044999680,2.0174166613333333,10,0,2017-03-11 17:28:26.367000064
0,2017-03-14 10:21:12.851000064,-0.0882015,-78.50929160000001,22,,2017314,tld24,2017-03-14,POINT (-78.50933240000001 -0.088241),0 days 00:06:02.840000,6.0473333333333334,11,0,2017-03-14 10:47:14.640000000
1,2017-03-14 10:49:49.194000128,-0.0879819,-78.50955605,42,,2017314,tld24,2017-03-14,POINT (-78.5097797 -0.0877228),0 days 01:28:05.225999872,88.08709999786667,11,1,2017-03-14 12:18:56.181999872
2,2017-03-14 12:22:10.144999936,-0.0864873,-78.5080452,1299,,2017314,tld24,2017-03-14,POINT (-78.5080452 -0.0864873),0 days 00:02:05.636999936,2.0939499989333337,11,1,2017-03-14 12:30:28.282000128
3,2017-03-14 12:30:28.282000128,-0.0967915,-78.5030738,1399,,2017314,tld24,2017-03-14,POINT (-78.5030738 -0.0967915),0 days 00:08:18.137000192,8.302283336533334,11,1,2017-03-14 12:36:31.490000128
4,2017-03-14 12:39:45.746000128,-0.104808,-78.500233,1299,,2017314,tld24,2017-03-14,POINT (-78.50023299999999 -0.104808),0 days 00:03:14.256000,3.2376,11,1,2017-03-14 15:25:53.027000064
5,2017-03-14 15:30:40.308999936,-0.1773196,-78.48522840000001,27,,2017314,tld24,2017-03-14,POINT (-78.48474 -0.1764226),0 days 00:01:01.770000128,1.0295000021333334,11,2,2017-03-14 15:36:46.651000064
6,2017-03-14 15:38:48.447000064,-0.1767251,-78.48107725,1100,,2017314,tld24,2017-03-14,POINT (-78.481055 -0.1750217),0 days 00:00:37.489000192,0.6248166698666666,11,2,2017-03-14 16:42:24.100000000
0,2017-03-15 14:35:47.331000064,-0.08821765000000001,-78.5093324,21,,2017315,tld24,2017-03-15,POINT (-78.5089773 -0.0874537),0 days 00:01:10.609000192,1.1768166698666669,12,2,2017-03-15 17:52:01.078000128
1,2017-03-15 17:52:01.078000128,-0.0863628,-78.5081809,1327,,2017315,tld24,2017-03-15,POINT (-78.5081809 -0.0863628),0 days 00:00:36.384000,0.6064,12,2,2017-03-15 17:58:04.620000000
0,2017-05-02 16:52:36.712000000,-0.2110119,-78.4882916,144,,201752,tld24,2017-05-02,POINT (-78.4895559 -0.2103652),0 days 00:00:37.066000128,0.6177666688,13,0,2017-05-02 16:57:39.136000000
1,2017-05-02 16:57:39.136000000,-0.2114819,-78.4927753,1200,,201752,tld24,2017-05-02,POINT (-78.49277530000001 -0.2114819),0 days 00:01:03.253000192,1.0542166698666666,13,0,2017-05-02 17:08:03.924999936
