,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2019-06-17 22:46:08.360000000,-0.3360836,-78.538578,1799,,2019617,tld19,2019-06-17,POINT (-78.538578 -0.3360836),0 days 07:18:41.632999936,438.6938833322667,0,0,2019-06-17 22:59:12.713999872
0,2019-06-18 04:36:40.701999872,-0.3366603,-78.5389329,1700,,2019618,tld19,2019-06-18,POINT (-78.53893290000001 -0.3366603),0 days 00:40:02.017999872,40.0336333312,1,0,2019-06-18 04:56:41.694999808
1,2019-06-18 04:56:41.694999808,-0.3352242,-78.5428376,1399,,2019618,tld19,2019-06-18,POINT (-78.5428376 -0.3352242),0 days 00:20:00.992999936,20.016549998933336,1,0,2019-06-18 05:16:43.838000128
2,2019-06-18 05:16:43.838000128,-0.33608465,-78.5389329,1799,,2019618,tld19,2019-06-18,POINT (-78.538578 -0.3360836),0 days 00:41:11.232999936,41.1872166656,1,2,2019-06-18 13:14:05.361999872
3,2019-06-18 13:22:07.152000000,-0.3346407,-78.5368031,300,,2019618,tld19,2019-06-18,POINT (-78.5368031 -0.3346407),0 days 00:01:59.507000064,1.9917833344000002,1,2,2019-06-18 22:17:23.388000000
0,2019-06-21 02:23:13.221999872,-0.3346158,-78.53901,92,,2019621,tld19,2019-06-21,POINT (-78.53901 -0.3346158),0 days 08:03:41.112999936,483.6852166656,4,0,2019-06-21 02:32:03.622999808
1,2019-06-21 02:33:24.956999936,-0.3343683,-78.5391237,16,,2019621,tld19,2019-06-21,POINT (-78.5391237 -0.3343683),0 days 00:01:21.334000128,1.3555666688,4,0,2019-06-21 04:14:14.780999936
2,2019-06-21 04:14:14.780999936,-0.3352242,-78.5428376,1399,,2019621,tld19,2019-06-21,POINT (-78.5428376 -0.3352242),0 days 01:40:49.824000,100.83040000000001,4,1,2019-06-21 04:29:37.324999936
3,2019-06-21 04:29:37.324999936,-0.3346407,-78.5368031,300,,2019621,tld19,2019-06-21,POINT (-78.5368031 -0.3346407),0 days 00:15:22.544000,15.375733333333335,4,1,2019-06-21 19:54:51.842000128
4,2019-06-21 19:54:51.842000128,-0.3360836,-78.538578,1799,,2019621,tld19,2019-06-21,POINT (-78.538578 -0.3360836),0 days 04:11:53.594000128,251.8932333354667,4,2,2019-06-21 20:04:52.491000064
5,2019-06-21 20:04:52.491000064,-0.3343683,-78.5391237,16,,2019621,tld19,2019-06-21,POINT (-78.5391237 -0.3343683),0 days 00:10:00.648999936,10.0108166656,4,2,2019-06-21 23:31:15.528999936
0,2019-06-25 12:06:33.473999872,-0.3343819,-78.5391264,16,,2019625,tld19,2019-06-25,POINT (-78.5391264 -0.3343819),0 days 00:49:44.259000064,49.73765000106667,8,0,2019-06-25 12:19:59.249000192
1,2019-06-25 12:19:59.249000192,-0.3349289,-78.5368031,400,,2019625,tld19,2019-06-25,POINT (-78.5368031 -0.3349289),0 days 00:13:25.775000320,13.429583338666667,8,0,2019-06-25 20:47:16.203000064
2,2019-06-25 20:59:36.094000128,-0.3366603,-78.5389329,1700,,2019625,tld19,2019-06-25,POINT (-78.53893290000001 -0.3366603),0 days 00:01:59.504000256,1.9917333376000002,8,1,2019-06-25 21:12:49.296000000
0,2019-06-26 07:35:51.415000064,-0.3349833,-78.5403058,899,,2019626,tld19,2019-06-26,POINT (-78.54035279999999 -0.3357975),0 days 01:30:14.357999872,90.23929999786668,9,1,2019-06-26 21:17:46.260000000
0,2019-06-27 15:36:56.616000000,-0.3345201,-78.5392044,16,,2019627,tld19,2019-06-27,POINT (-78.5391209 -0.3343965),0 days 00:56:22.400000,56.373333333333335,10,1,2019-06-27 16:34:54.635000064
1,2019-06-27 16:35:33.480000000,-0.33524025,-78.53902690000001,1799,,2019627,tld19,2019-06-27,POINT (-78.53893290000001 -0.336084),0 days 00:07:14.770999808,7.246183330133333,10,1,2019-06-27 16:43:37.624999936
0,2019-06-28 06:37:16.423000064,-0.3346407,-78.5368031,300,,2019628,tld19,2019-06-28,POINT (-78.5368031 -0.3346407),0 days 13:52:32.512000,832.5418666666667,11,0,2019-06-28 06:48:34.977999872
1,2019-06-28 06:48:34.977999872,-0.3332055,-78.5414178,1000,,2019628,tld19,2019-06-28,POINT (-78.5414178 -0.3332055),0 days 00:11:18.554999808,11.3092499968,11,0,2019-06-28 07:13:39.892999936
2,2019-06-28 07:13:39.892999936,-0.33450615,-78.53906405000001,16,,2019628,tld19,2019-06-28,POINT (-78.5391209 -0.3343965),0 days 00:10:52.019000064,10.8669833344,11,0,2019-06-28 14:24:46.483000064
3,2019-06-28 14:24:46.483000064,-0.3332055,-78.5414178,1000,,2019628,tld19,2019-06-28,POINT (-78.5414178 -0.3332055),0 days 01:08:29.377000192,68.48961666986666,11,1,2019-06-28 14:40:19.320000000
4,2019-06-28 14:40:19.320000000,-0.3343965,-78.5391209,16,,2019628,tld19,2019-06-28,POINT (-78.5391209 -0.3343965),0 days 00:15:32.836999936,15.547283332266668,11,1,2019-06-28 15:17:23.991000064
5,2019-06-28 15:17:23.991000064,-0.3355102,-78.5410628,699,,2019628,tld19,2019-06-28,POINT (-78.54106280000001 -0.3355102),0 days 00:37:04.671000064,37.077850001066665,11,2,2019-06-28 15:42:13.083000064
6,2019-06-28 15:42:13.083000064,-0.3343965,-78.5391209,16,,2019628,tld19,2019-06-28,POINT (-78.5391209 -0.3343965),0 days 00:24:49.092000,24.8182,11,2,2019-06-28 21:02:25.835000064
0,2019-06-29 07:58:58.158999808,-0.3343965,-78.5391209,16,,2019629,tld19,2019-06-29,POINT (-78.5391209 -0.3343965),0 days 08:51:15.359999744,531.2559999957334,12,0,2019-06-29 08:09:07.542000128
1,2019-06-29 08:11:07.568000000,-0.3332055,-78.5414178,1000,,2019629,tld19,2019-06-29,POINT (-78.5414178 -0.3332055),0 days 00:02:00.025999872,2.0004333312000004,12,0,2019-06-29 15:52:37.313999872
0,2019-11-04 16:26:36.703000064,-0.3343358,-78.539229,16,,2019114,tld19,2019-11-04,POINT (-78.53922900000001 -0.3343358),0 days 00:02:07.363000064,2.1227166677333336,13,0,2019-11-04 20:56:23.917999872
1,2019-11-04 20:56:23.917999872,-0.1499801,-78.4987151,64,,2019114,tld19,2019-11-04,POINT (-78.4987151 -0.1499801),0 days 04:29:47.214999808,269.7869166634667,13,1,2019-11-04 21:06:14.874000128
0,2019-11-05 09:21:27.313999872,-0.33753475,-78.5467422,1700,,2019115,tld19,2019-11-05,POINT (-78.5467422 -0.3383986),0 days 00:02:01.023000064,2.0170500010666665,14,0,2019-11-05 09:29:31.515000064
1,2019-11-05 09:37:42.313999872,-0.3099636,-78.545943,197,,2019115,tld19,2019-11-05,POINT (-78.54594299999999 -0.3099636),0 days 00:02:15.313999872,2.2552333312000004,14,0,2019-11-05 10:03:00.099000064
2,2019-11-05 10:43:23.839000064,-0.2011624,-78.501159,1000,,2019115,tld19,2019-11-05,POINT (-78.5005881 -0.2014379),0 days 00:02:00.012000256,2.000200004266667,14,0,2019-11-05 10:49:27.120000000
3,2019-11-05 10:49:27.120000000,-0.1985501,-78.50332335,17,,2019115,tld19,2019-11-05,POINT (-78.5023338 -0.1992079),0 days 00:02:01.048999936,2.0174833322666665,14,1,2019-11-05 12:51:14.418999808
4,2019-11-05 12:51:14.418999808,-0.1998489,-78.5007557,31,,2019115,tld19,2019-11-05,POINT (-78.5007521 -0.1996748),0 days 00:02:01.007000064,2.0167833344000003,14,1,2019-11-05 13:05:21.253999872
5,2019-11-05 13:47:38.144999936,-0.2955969,-78.5555948,65,,2019115,tld19,2019-11-05,POINT (-78.5556077 -0.2955969),0 days 00:02:00.043999744,2.0007333290666667,14,1,2019-11-05 13:55:39.122999808
6,2019-11-05 14:16:20.308000000,-0.3388842,-78.5492611,34,,2019115,tld19,2019-11-05,POINT (-78.54945499999999 -0.338786),0 days 00:04:02.079000064,4.034650001066667,14,1,2019-11-05 14:24:33.452000000
7,2019-11-05 14:34:36.082000128,-0.3355022,-78.5343181,1700,,2019115,tld19,2019-11-05,POINT (-78.53431809999999 -0.3355022),0 days 00:02:00.033000192,2.0005500032,14,1,2019-11-05 14:51:16.546000128
0,2019-11-06 07:43:34.926000128,-0.2990673,-78.5423517,90,,2019116,tld19,2019-11-06,POINT (-78.5423517 -0.2990673),0 days 00:01:57.989000192,1.9664833365333334,15,0,2019-11-06 07:49:49.822000128
1,2019-11-06 08:06:12.723000064,-0.2569419,-78.5430451,41,,2019116,tld19,2019-11-06,POINT (-78.5430451 -0.2569419),0 days 00:02:03.975000064,2.066250001066667,15,0,2019-11-06 08:12:28.000000000
2,2019-11-06 08:45:48.933000192,-0.19833355,-78.50393679999999,64,,2019116,tld19,2019-11-06,POINT (-78.5039627 -0.1983931),0 days 00:14:38.508000,14.6418,15,1,2019-11-06 10:25:05.730000128
3,2019-11-06 10:27:21.857000192,-0.1983749,-78.5039168,64,,2019116,tld19,2019-11-06,POINT (-78.5039627 -0.1983931),0 days 00:03:55.964999936,3.9327499989333337,15,1,2019-11-06 10:47:01.620999936
4,2019-11-06 10:47:01.620999936,-0.20029035,-78.50165340000001,1200,,2019116,tld19,2019-11-06,POINT (-78.5012983 -0.2005771),0 days 00:02:01.475000064,2.0245833344000004,15,1,2019-11-06 10:55:12.651000064
5,2019-11-06 11:30:13.111000064,-0.2955486,-78.5554257,17,,2019116,tld19,2019-11-06,POINT (-78.55544209999999 -0.2955486),0 days 00:02:00.836999680,2.0139499946666666,15,1,2019-11-06 11:42:28.482000128
6,2019-11-06 12:00:50.379000064,-0.33913432499999996,-78.549169125,98,,2019116,tld19,2019-11-06,POINT (-78.54912805000001 -0.33901145),0 days 00:01:40.702999808,1.6783833301333333,15,1,2019-11-06 12:11:11.227000064
7,2019-11-06 12:21:26.687000064,-0.3334844,-78.5336081,2200,,2019116,tld19,2019-11-06,POINT (-78.5336081 -0.3334844),0 days 00:04:09.618000128,4.160300002133334,15,1,2019-11-06 13:21:00.674000128
8,2019-11-06 13:23:00.673000192,-0.3355022,-78.5343181,1700,,2019116,tld19,2019-11-06,POINT (-78.53431809999999 -0.3355022),0 days 00:01:59.999000064,1.9999833344,15,2,2019-11-06 13:36:09.931000064
9,2019-11-06 13:36:09.931000064,-0.3329157,-78.5399979,1799,,2019116,tld19,2019-11-06,POINT (-78.5399979 -0.3329157),0 days 00:13:09.257999872,13.154299997866667,15,2,2019-11-06 13:45:10.641999872
10,2019-11-06 13:45:10.641999872,-0.3334844,-78.5336081,2200,,2019116,tld19,2019-11-06,POINT (-78.5336081 -0.3334844),0 days 00:09:00.710999808,9.0118499968,15,2,2019-11-06 21:29:26.262000128
11,2019-11-06 21:29:26.262000128,-0.1499801,-78.4987151,35,,2019116,tld19,2019-11-06,POINT (-78.4987151 -0.1499801),0 days 07:09:23.100000256,429.3850000042667,15,3,2019-11-06 21:36:14.660999936
0,2019-11-07 07:50:42.874000128,-0.2946257,-78.5517113,1700,,2019117,tld19,2019-11-07,POINT (-78.55171129999999 -0.2946257),0 days 00:02:07.335000064,2.122250001066667,16,0,2019-11-07 08:03:23.000000000
1,2019-11-07 08:17:13.684000000,-0.2462805,-78.5332531,1700,,2019117,tld19,2019-11-07,POINT (-78.5332531 -0.2462805),0 days 00:02:01.016999936,2.0169499989333333,16,0,2019-11-07 08:24:34.000000000
2,2019-11-07 08:49:30.770999808,-0.2302668,-78.5230326,2078,,2019117,tld19,2019-11-07,POINT (-78.52303259999999 -0.2302668),0 days 00:02:00.891999744,2.0148666624000002,16,0,2019-11-07 09:06:11.447000064
3,2019-11-07 09:06:11.447000064,-0.19811815,-78.50409535,29,,2019117,tld19,2019-11-07,POINT (-78.5029746 -0.1989598),0 days 00:03:46.560999680,3.7760166613333337,16,1,2019-11-07 13:01:14.860999936
4,2019-11-07 13:01:14.860999936,-0.1996176,-78.5007239,22,,2019117,tld19,2019-11-07,POINT (-78.5007509 -0.199645),0 days 00:02:01.156000,2.0192666666666668,16,1,2019-11-07 13:15:23.842999808
5,2019-11-07 14:03:39.651000064,-0.29491409999999996,-78.55224369999999,1200,,2019117,tld19,2019-11-07,POINT (-78.5527761 -0.2952025),0 days 00:02:00.009999872,2.0001666645333334,16,1,2019-11-07 14:09:42.984000000
6,2019-11-07 14:30:07.128000000,-0.3389715,-78.5491426,47,,2019117,tld19,2019-11-07,POINT (-78.5491426 -0.3389715),0 days 00:02:02.280000,2.038,16,1,2019-11-07 14:42:16.690000128
0,2019-11-08 07:28:02.092000000,-0.33177525,-78.55029160000001,1600,,2019118,tld19,2019-11-08,POINT (-78.5495817 -0.3317744),0 days 00:04:00.015000064,4.000250001066667,17,0,2019-11-08 07:52:44.536000000
1,2019-11-08 07:52:44.536000000,-0.2953013,-78.5556827,64,,2019118,tld19,2019-11-08,POINT (-78.55650110000001 -0.2955997),0 days 00:02:19.257999872,2.320966664533333,17,0,2019-11-08 08:02:36.148000000
2,2019-11-08 08:28:11.880000000,-0.2218515,-78.5213795,899,,2019118,tld19,2019-11-08,POINT (-78.52153749999999 -0.221844),0 days 00:02:00.032000,2.0005333333333337,17,0,2019-11-08 08:34:13.259000064
3,2019-11-08 08:42:16.742000128,-0.1992341,-78.5014819,31,,2019118,tld19,2019-11-08,POINT (-78.50238950000001 -0.1990586),0 days 00:02:04.383000064,2.0730500010666666,17,0,2019-11-08 08:48:20.854000128
4,2019-11-08 08:48:20.854000128,-0.198283,-78.5040289,17,,2019118,tld19,2019-11-08,POINT (-78.504144 -0.198283),0 days 00:05:40.210999808,5.670183330133333,17,0,2019-11-08 11:00:51.970000128
5,2019-11-08 11:00:51.970000128,-0.1959883,-78.50769009999999,1500,,2019118,tld19,2019-11-08,POINT (-78.507335 -0.1965622),0 days 00:06:35.168999936,6.586149998933334,17,1,2019-11-08 11:20:52.085999872
6,2019-11-08 11:20:52.085999872,-0.1982829,-78.5048493,1100,,2019118,tld19,2019-11-08,POINT (-78.5048493 -0.1982829),0 days 00:13:24.946999808,13.415783330133335,17,1,2019-11-08 11:27:16.793999872
7,2019-11-08 11:29:17.068999936,-0.1982829,-78.5048493,1100,,2019118,tld19,2019-11-08,POINT (-78.5048493 -0.1982829),0 days 00:02:00.275000064,2.0045833344000004,17,1,2019-11-08 11:40:13.993999872
8,2019-11-08 11:40:13.993999872,-0.1954144,-78.5080452,1299,,2019118,tld19,2019-11-08,POINT (-78.5080452 -0.1954144),0 days 00:10:56.924999936,10.948749998933334,17,1,2019-11-08 12:32:08.700000000
9,2019-11-08 12:32:08.700000000,-0.19861715000000002,-78.50404850000001,28,,2019118,tld19,2019-11-08,POINT (-78.5032477 -0.1989514),0 days 00:10:51.754999808,10.862583330133335,17,2,2019-11-08 12:45:04.351000064
10,2019-11-08 12:45:04.351000064,-0.19954435,-78.50106205,42,,2019118,tld19,2019-11-08,POINT (-78.50106649999999 -0.1994391),0 days 00:08:03.305999872,8.055099997866668,17,2,2019-11-08 12:59:12.137000192
11,2019-11-08 13:07:47.520999936,-0.1985971,-78.5021837,35,,2019118,tld19,2019-11-08,POINT (-78.5021837 -0.1985971),0 days 00:02:11.028000,2.1838,17,2,2019-11-08 13:24:01.196000000
12,2019-11-08 13:46:19.617000192,-0.2956339,-78.5524212,1100,,2019118,tld19,2019-11-08,POINT (-78.5527761 -0.2957782),0 days 00:02:01.036000,2.0172666666666665,17,2,2019-11-08 13:52:22.746000128
13,2019-11-08 14:12:44.349999872,-0.3389715,-78.5493769,87,,2019118,tld19,2019-11-08,POINT (-78.5491426 -0.3389715),0 days 00:02:01.170000128,2.0195000021333334,17,2,2019-11-08 14:19:05.356000000
14,2019-11-08 14:25:07.496000000,-0.33554075,-78.5394086,56,,2019118,tld19,2019-11-08,POINT (-78.5389947 -0.3351043),0 days 00:02:11.112999936,2.1852166656,17,2,2019-11-08 14:33:24.460000000
