,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2019-02-18 11:56:23.596999936,-0.1706217,-78.4772,135,,2019218,tld16,2019-02-18,POINT (-78.4772 -0.1706217),0 days 00:03:45.596999936,3.7599499989333336,1,0,2019-02-18 12:10:28.763000064
1,2019-02-18 12:10:28.763000064,-0.15928625,-78.4759067,17,,2019218,tld16,2019-02-18,POINT (-78.4759067 -0.1592934),0 days 00:02:00.426000128,2.0071000021333334,1,0,2019-02-18 12:33:44.058000128
0,2019-02-20 02:50:34.793999872,-0.15871344999999998,-78.47653235,26,,2019220,tld16,2019-02-20,POINT (-78.4759167 -0.1593297),0 days 00:03:39.686000128,3.661433335466667,3,0,2019-02-20 13:43:52.655000064
1,2019-02-20 13:43:52.655000064,-0.147592,-78.4591714,23,,2019220,tld16,2019-02-20,POINT (-78.45916990000001 -0.147592),0 days 00:02:02.209999872,2.0368333312,3,1,2019-02-20 13:51:54.851000064
2,2019-02-20 13:51:54.851000064,-0.14695205,-78.46027755,64,,2019220,tld16,2019-02-20,POINT (-78.4597473 -0.1475703),0 days 00:06:02.676999936,6.0446166656,3,1,2019-02-20 14:01:01.474999808
3,2019-02-20 14:01:01.474999808,-0.1473467,-78.4592116,51,,2019220,tld16,2019-02-20,POINT (-78.4609738 -0.1480677),0 days 00:02:00.097999872,2.0016333312,3,3,2019-02-20 19:05:42.489000192
4,2019-02-20 19:05:42.489000192,-0.1481531,-78.461235,29,,2019220,tld16,2019-02-20,POINT (-78.461235 -0.1481531),0 days 00:02:00.037000192,2.000616669866667,3,3,2019-02-20 19:53:02.512999936
0,2019-03-04 16:01:53.398000128,-0.1724448,-78.4892239,1100,,201934,tld16,2019-03-04,POINT (-78.4878032 -0.1733046),0 days 00:02:24.552999936,2.4092166656000003,6,0,2019-03-04 18:36:12.720999936
0,2019-03-05 00:02:45.100000000,-0.15931517499999998,-78.476012475,17,,201935,tld16,2019-03-05,POINT (-78.47601215 -0.1593256),0 days 00:01:30.112999936,1.5018833322666667,7,1,2019-03-05 02:37:53.452000000
0,2019-03-06 21:01:55.984000000,-0.15919125,-78.4758903,22,,201936,tld16,2019-03-06,POINT (-78.47591679999999 -0.1592173),0 days 00:08:25.023000064,8.417050001066666,8,0,2019-03-06 21:28:43.000000000
1,2019-03-06 21:29:13.000000000,-0.1575165,-78.47403395,40,,201936,tld16,2019-03-06,POINT (-78.47450670000001 -0.1580333),0 days 00:00:45.915000064,0.7652500010666667,8,0,2019-03-06 21:40:46.799000064
0,2019-03-09 15:34:25.039000064,-0.15931475,-78.4759936,24,,201939,tld16,2019-03-09,POINT (-78.47590545 -0.1593438),0 days 00:02:01.354000128,2.0225666688,10,2,2019-03-09 18:26:42.000000000
0,2019-03-23 13:12:27.602999808,-0.159196,-78.4759149,27,,2019323,tld16,2019-03-23,POINT (-78.47719169999999 -0.15837),0 days 00:02:00.426999808,2.007116663466667,12,0,2019-03-23 13:38:56.584000000
1,2019-03-23 13:38:56.584000000,-0.161826,-78.4785687,1299,,2019323,tld16,2019-03-23,POINT (-78.4785687 -0.161826),0 days 00:04:07.096000,4.118266666666667,12,0,2019-03-23 13:45:08.532999936
2,2019-03-23 13:45:08.532999936,-0.1646968,-78.4835413,1200,,2019323,tld16,2019-03-23,POINT (-78.4835413 -0.1646968),0 days 00:06:11.948999936,6.199149998933334,12,0,2019-03-23 15:47:10.358000128
3,2019-03-23 15:49:10.714999808,-0.1569503,-78.477148,1500,,2019323,tld16,2019-03-23,POINT (-78.477148 -0.1569503),0 days 00:02:00.356999680,2.0059499946666666,12,1,2019-03-23 15:56:53.788999936
4,2019-03-23 15:56:53.788999936,-0.1592913,-78.47599765000001,27,,2019323,tld16,2019-03-23,POINT (-78.47596 -0.15933025),0 days 00:01:30.176999680,1.502949994666667,12,2,2019-03-23 17:08:06.724000000
5,2019-03-23 17:10:13.503000064,-0.1593041,-78.4759952,23,,2019323,tld16,2019-03-23,POINT (-78.4759474 -0.1593132),0 days 00:02:01.828000,2.030466666666667,12,2,2019-03-23 17:22:18.002000128
0,2019-04-11 12:39:56.000000000,-0.1614807,-78.4778849,15,0.0,2019411,tld16,2019-04-11,POINT (-78.47788490000001 -0.1614807),0 days 00:00:37.212999936,0.6202166656,13,0,2019-04-11 12:50:37.864000000
0,2019-04-17 13:34:19.000000000,-0.1999911,-78.5025405,71,,2019417,tld16,2019-04-17,POINT (-78.5016157 -0.2012681),0 days 00:02:26.783000064,2.4463833344000006,14,0,2019-04-17 13:42:04.578000128
