,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2019-09-25 05:13:10.432000000,-0.3316171,-78.56300615,13,2.0,2019925,tld8,2019-09-25,POINT (-78.5630037 -0.3316024),0 days 00:02:21,2.35,0,0,2019-09-25 07:41:57.543000064
1,2019-09-25 07:42:29.736000000,-0.1986675,-78.5029966,17,,2019925,tld8,2019-09-25,POINT (-78.502951 -0.19877125),0 days 00:01:38.863000064,1.6477166677333335,0,2,2019-09-25 08:37:30.708000000
2,2019-09-25 08:37:30.708000000,-0.20086520000000002,-78.5027187,1299,,2019925,tld8,2019-09-25,POINT (-78.5020085 -0.2008647),0 days 00:02:02.037999872,2.0339666645333336,0,2,2019-09-25 08:59:59.000000000
3,2019-09-25 09:01:31.000000000,-0.2062654,-78.5123539,6,3.0,2019925,tld8,2019-09-25,POINT (-78.51235389999999 -0.2066784),0 days 00:00:15,0.25000000000000006,0,2,2019-09-25 09:35:05.000000000
4,2019-09-25 09:36:37.000000000,-0.2802122,-78.5532402,10,6.0,2019925,tld8,2019-09-25,POINT (-78.5532402 -0.2802122),0 days 00:00:30,0.5000000000000001,0,2,2019-09-25 10:05:22.733999872
5,2019-09-25 10:05:22.733999872,-0.33169325,-78.56301975,24,,2019925,tld8,2019-09-25,POINT (-78.5630219 -0.3316288),0 days 00:13:20.441999872,13.340699997866666,0,3,2019-09-25 12:44:25.377000192
6,2019-09-25 12:58:38.947000064,-0.29491670000000003,-78.5547282,500,,2019925,tld8,2019-09-25,POINT (-78.5552606 -0.2952051),0 days 00:02:00.963000064,2.016050001066667,0,3,2019-09-25 13:43:06.750000128
0,2019-10-03 22:41:29.712000000,-0.2733345,-78.5559705,1299,,2019103,tld8,2019-10-03,POINT (-78.5559705 -0.2733345),8 days 08:54:12.274000128,12054.2045666688,1,0,2019-10-03 22:48:32.479000064
0,2019-10-04 12:24:09.752999936,-0.3283253,-78.5566803,1200,,2019104,tld8,2019-10-04,POINT (-78.5566803 -0.3283253),0 days 00:02:02.052000,2.0342000000000002,2,0,2019-10-04 12:40:31.104999936
0,2019-10-20 15:39:49.256000000,-0.3316177,-78.5630145,17,,20191020,tld8,2019-10-20,POINT (-78.56301449999999 -0.3316177),0 days 00:36:01.021999872,36.0170333312,3,1,2019-10-20 17:14:55.927000064
1,2019-10-20 17:14:55.927000064,-0.2802665,-78.5829406,899,,20191020,tld8,2019-10-20,POINT (-78.5829406 -0.2802665),0 days 00:03:50.491000064,3.8415166677333334,3,1,2019-10-20 17:24:32.772999936
