,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2019-02-02 10:09:30.677999872,-0.20374435,-78.50513914999999,31,,201922,tld25,2019-02-02,POINT (-78.5050739 -0.2040377),0 days 00:02:49.773999872,2.8295666645333335,1,0,2019-02-02 10:14:43.096999936
1,2019-02-02 10:18:47.243000064,-0.2016842,-78.50143495,63,,201922,tld25,2019-02-02,POINT (-78.5012078 -0.202046),0 days 00:01:01.654000128,1.0275666688,1,0,2019-02-02 10:25:52.306999808
2,2019-02-02 11:00:17.296999936,-0.2560301,-78.5048493,1299,,201922,tld25,2019-02-02,POINT (-78.5048493 -0.2560301),0 days 00:04:03.296000,4.0549333333333335,1,0,2019-02-02 11:06:23.144999936
3,2019-02-02 11:15:38.236000000,-0.3659172,-78.5302519,2608,,201922,tld25,2019-02-02,POINT (-78.5302519 -0.3659172),0 days 00:04:07.276000,4.121266666666667,1,0,2019-02-02 12:12:04.545000192
4,2019-02-02 12:15:08.171000064,-0.3858269,-78.52174435,116,,201922,tld25,2019-02-02,POINT (-78.5217942 -0.3862489),0 days 00:01:00.305999872,1.0050999978666666,1,1,2019-02-02 12:20:10.119000064
5,2019-02-02 12:23:15.713999872,-0.3879564,-78.5118942,52,,201922,tld25,2019-02-02,POINT (-78.511383 -0.3869995),0 days 00:01:01.136000,1.0189333333333335,1,1,2019-02-02 12:29:23.136000000
6,2019-02-02 12:29:23.136000000,-0.3863575,-78.5112714,116,,201922,tld25,2019-02-02,POINT (-78.512725 -0.3864788),0 days 00:01:00.718999808,1.0119833301333334,1,1,2019-02-02 12:39:22.788000000
0,2019-04-03 15:58:02.407000064,-0.2117431,-78.4907555,29,,201943,tld25,2019-04-03,POINT (-78.4915841 -0.2117885),0 days 00:02:00.955000064,2.0159166677333333,2,0,2019-04-03 16:41:17.112999936
1,2019-04-03 16:43:17.657000192,-0.2123437,-78.4931305,899,,201943,tld25,2019-04-03,POINT (-78.49313050000001 -0.2123437),0 days 00:02:00.544000256,2.0090666709333336,2,0,2019-04-03 17:02:37.155000064
0,2019-05-30 10:16:58.293999872,-0.2014412,-78.5052044,1299,,2019530,tld25,2019-05-30,POINT (-78.5052044 -0.2014412),20 days 23:13:58.115000064,30193.9685833344,5,0,2019-05-30 10:43:26.289999872
1,2019-05-30 10:43:26.289999872,-0.19844810000000002,-78.503955425,35,,2019530,tld25,2019-05-30,POINT (-78.5037567 -0.1986077),0 days 00:04:00.005000192,4.000083336533334,5,0,2019-05-30 10:51:34.144999936
0,2019-06-01 12:00:17.000000000,-0.30425884999999997,-78.4563382,3,2.0,201961,tld25,2019-06-01,POINT (-78.4567255 -0.3037608),0 days 00:00:47,0.7833333333333333,6,0,2019-06-01 12:07:16.000000000
0,2019-06-28 08:42:23.004000000,-0.1999714,-78.5034082,24,,2019628,tld25,2019-06-28,POINT (-78.50334429999999 -0.2002896),0 days 00:02:00.133000192,2.002216669866667,7,0,2019-06-28 08:48:54.036000000
0,2019-07-05 11:21:55.000000000,-0.1991165,-78.49976,4,0.0,201975,tld25,2019-07-05,POINT (-78.50021924999999 -0.1982381),0 days 00:00:15.872000,0.26453333333333334,8,0,2019-07-05 11:27:38.220000000
0,2019-07-12 08:25:08.710000128,-0.2014412,-78.5052044,1299,,2019712,tld25,2019-07-12,POINT (-78.5052044 -0.2014412),0 days 00:03:00.106000128,3.0017666688,9,0,2019-07-12 08:33:16.636000000
