,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2015-11-18 08:00:24.268999936,-0.2910982,-78.474645,17,,20151118,tld21,2015-11-18,POINT (-78.474645 -0.2910982),0 days 00:02:13.222000128,2.2203666688,0,0,2015-11-18 08:29:00.451000064
1,2015-11-18 08:29:00.451000064,-0.29723330000000003,-78.476704925,8,,20151118,tld21,2015-11-18,POINT (-78.4767016 -0.2972766),0 days 00:01:20.967999744,1.3494666624000002,0,1,2015-11-18 11:19:09.627000064
2,2015-11-18 11:19:09.627000064,-0.29559495,-78.47774745000001,19,,20151118,tld21,2015-11-18,POINT (-78.4767083 -0.2954783),0 days 00:41:02.497999872,41.0416333312,0,2,2015-11-18 12:21:34.940999936
3,2015-11-18 12:21:34.940999936,-0.29179164999999996,-78.478275,21,,20151118,tld21,2015-11-18,POINT (-78.478515 -0.2913383),0 days 00:06:10.327000064,6.1721166677333335,0,2,2015-11-18 16:30:17.119000064
4,2015-11-18 16:32:03.519000064,-0.2973016,-78.477015,26,,20151118,tld21,2015-11-18,POINT (-78.47701499999999 -0.2973016),0 days 00:01:00.426000128,1.0071000021333334,0,3,2015-11-18 16:39:50.099000064
5,2015-11-18 16:39:50.099000064,-0.2939716,-78.4763383,16,,20151118,tld21,2015-11-18,POINT (-78.47636660000001 -0.2939716),0 days 00:01:12.243000064,1.2040500010666666,0,3,2015-11-18 17:10:51.604999936
6,2015-11-18 17:15:07.720000000,-0.3066366,-78.4551483,6,,20151118,tld21,2015-11-18,POINT (-78.4552633 -0.3060666),0 days 00:00:45.996999936,0.7666166656000001,0,3,2015-11-18 18:57:53.507000064
7,2015-11-18 19:07:22.394000128,-0.3018516,-78.4643316,9,,20151118,tld21,2015-11-18,POINT (-78.46433159999999 -0.3018516),0 days 00:00:45.906000128,0.7651000021333334,0,3,2015-11-18 19:19:16.721999872
8,2015-11-18 19:19:16.721999872,-0.29625995,-78.47741744999999,11,,20151118,tld21,2015-11-18,POINT (-78.47687329999999 -0.296945),0 days 00:03:00.068000,3.0011333333333337,0,3,2015-11-18 21:55:44.302000128
9,2015-11-18 21:55:44.302000128,-0.29358,-78.4831516,20,,20151118,tld21,2015-11-18,POINT (-78.4831516 -0.29358),0 days 02:33:27.512000256,153.4585333376,0,4,2015-11-18 22:01:45.208000000
