,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2017-11-05 07:41:25.000000000,-0.36033995,-78.56217724999999,3,0.0,2017115,tld12,2017-11-05,POINT (-78.5621383 -0.360405),0 days 00:01:26,1.4333333333333333,0,0,2017-11-05 08:24:27.391000064
1,2017-11-05 08:25:00.000000000,-0.36025,-78.56216,20,,2017115,tld12,2017-11-05,POINT (-78.5621828 -0.3603566),0 days 00:03:11.544000,3.1924,0,2,2017-11-05 09:12:16.536999936
0,2017-11-07 14:01:57.000000000,-0.16410365,-78.4678704,1200,,2017117,tld12,2017-11-07,POINT (-78.4679125 -0.1638273),0 days 00:02:01.620999936,2.0270166656,1,0,2017-11-07 14:11:19.000000000
0,2017-11-23 21:50:14.304000000,-0.3603656,-78.5621744,20,,20171123,tld12,2017-11-23,POINT (-78.5621744 -0.3603656),0 days 00:00:59.254000128,0.9875666688,4,0,2017-11-23 21:55:43.510999808
0,2017-11-24 03:50:00.632999936,-0.3605548,-78.5621744,135,,20171124,tld12,2017-11-24,POINT (-78.56168649999999 -0.3605564),0 days 00:18:42.225999872,18.703766664533337,5,0,2017-11-24 04:55:02.775000064
1,2017-11-24 04:55:02.775000064,-0.3467746,-78.5612941,2200,,20171124,tld12,2017-11-24,POINT (-78.5612941 -0.3467746),0 days 00:09:08.409000192,9.1401500032,5,0,2017-11-24 05:01:12.071000064
2,2017-11-24 05:01:12.071000064,-0.3605564,-78.5616865,135,,20171124,tld12,2017-11-24,POINT (-78.56168649999999 -0.3605564),0 days 00:06:09.296000,6.154933333333334,5,0,2017-11-24 05:25:37.298000128
3,2017-11-24 05:25:37.298000128,-0.3490684,-78.5513564,2500,,20171124,tld12,2017-11-24,POINT (-78.5513564 -0.3490684),0 days 00:24:25.227000064,24.42045000106667,5,0,2017-11-24 05:31:46.369999872
4,2017-11-24 05:36:36.156000000,-0.3605487,-78.5621744,122,,20171124,tld12,2017-11-24,POINT (-78.5622549 -0.3610821),0 days 00:05:57.882000128,5.964700002133333,5,0,2017-11-24 05:53:03.051000064
5,2017-11-24 05:53:03.051000064,-0.3490811,-78.561649,2000,,20171124,tld12,2017-11-24,POINT (-78.561649 -0.3490811),0 days 00:08:19.988000,8.333133333333334,5,0,2017-11-24 06:03:09.056999936
6,2017-11-24 06:05:09.180999936,-0.3490811,-78.561649,2000,,20171124,tld12,2017-11-24,POINT (-78.561649 -0.3490811),0 days 00:02:00.124000,2.002066666666667,5,0,2017-11-24 06:52:29.000000000
7,2017-11-24 06:53:00.000000000,-0.2847217,-78.55753,2,7.0,20171124,tld12,2017-11-24,POINT (-78.5572817 -0.2847217),0 days 00:00:15,0.25000000000000006,5,1,2017-11-24 08:53:56.000000000
8,2017-11-24 08:53:56.000000000,-0.2950283,-78.556085,7,4.0,20171124,tld12,2017-11-24,POINT (-78.556085 -0.2950283),0 days 01:59:38,119.63333333333334,5,2,2017-11-24 09:14:35.344999936
9,2017-11-24 09:24:41.428000000,-0.3525366,-78.5584548,1899,,20171124,tld12,2017-11-24,POINT (-78.55845480000001 -0.3525366),0 days 00:02:01.872999936,2.0312166656,5,2,2017-11-24 09:30:55.204000000
10,2017-11-24 09:33:37.000000000,-0.3603656,-78.5621744,20,,20171124,tld12,2017-11-24,POINT (-78.5621744 -0.3603656),0 days 00:02:08.854000128,2.1475666688,5,3,2017-11-24 10:29:58.423000064
11,2017-11-24 10:29:58.423000064,-0.3490811,-78.561649,2000,,20171124,tld12,2017-11-24,POINT (-78.561649 -0.3490811),0 days 00:14:03.151000064,14.052516667733334,5,3,2017-11-24 10:34:59.748000000
12,2017-11-24 10:34:59.748000000,-0.3603656,-78.5621744,20,,20171124,tld12,2017-11-24,POINT (-78.5621744 -0.3603656),0 days 00:05:01.324999936,5.022083332266667,5,3,2017-11-24 10:42:46.348999936
0,2017-12-24 11:08:07.704000000,-0.3522505,-78.5602294,2599,,20171224,tld12,2017-12-24,POINT (-78.5602294 -0.3522505),30 days 00:23:19.124999936,43223.318749998936,6,0,2017-12-24 11:18:33.000000000
0,2018-01-02 04:58:27.986000128,-0.36103065,-78.5616476,122,,201812,tld12,2018-01-02,POINT (-78.5611208 -0.3616957),0 days 00:48:37.273999872,48.6212333312,7,1,2018-01-02 12:10:18.479000064
1,2018-01-02 12:10:18.479000064,-0.352537,-78.5588098,1899,,201812,tld12,2018-01-02,POINT (-78.55880980000001 -0.352537),0 days 00:06:10.598000128,6.176633335466667,7,1,2018-01-02 12:26:27.122999808
2,2018-01-02 12:28:28.173000192,-0.352537,-78.5588098,1899,,201812,tld12,2018-01-02,POINT (-78.55880980000001 -0.352537),0 days 00:38:54.351000064,38.905850001066675,7,2,2018-01-02 18:49:29.028000000
0,2018-03-24 17:08:16.000000000,-0.3603734,-78.56218,26,,2018324,tld12,2018-03-24,POINT (-78.5623391 -0.3603734),0 days 00:06:04.094000128,6.068233335466667,8,0,2018-03-24 17:28:34.546999808
1,2018-03-24 17:28:34.546999808,-0.3640569,-78.5481619,2700,,2018324,tld12,2018-03-24,POINT (-78.5481619 -0.3640569),0 days 00:02:01.080999680,2.0180166613333332,8,0,2018-03-24 17:35:37.801000192
2,2018-03-24 17:42:49.907000064,-0.3378274,-78.5510015,1399,,2018324,tld12,2018-03-24,POINT (-78.5506465 -0.337827),0 days 00:02:00.210000128,2.0035000021333333,8,0,2018-03-24 17:50:55.209000192
3,2018-03-24 17:50:55.209000192,-0.3314917,-78.5541958,1600,,2018324,tld12,2018-03-24,POINT (-78.5541958 -0.3314917),0 days 00:04:03.631000064,4.060516667733333,8,0,2018-03-24 18:45:52.000000000
4,2018-03-24 18:45:52.000000000,-0.25179399999999996,-78.5212684,10,0.0,2018324,tld12,2018-03-24,POINT (-78.5212633 -0.2514907),0 days 00:00:47,0.7833333333333333,8,1,2018-03-24 18:54:23.000000000
5,2018-03-24 19:09:12.000000000,-0.20417022499999998,-78.498558275,10,2.0,2018324,tld12,2018-03-24,POINT (-78.49834824999999 -0.20353875),0 days 00:00:30,0.5000000000000001,8,1,2018-03-24 19:15:46.000000000
6,2018-03-24 19:15:46.000000000,-0.19979154999999998,-78.4943004,10,1.0,2018324,tld12,2018-03-24,POINT (-78.4941725 -0.1996531),0 days 00:00:16,0.26666666666666666,8,1,2018-03-24 19:23:04.000000000
7,2018-03-24 19:23:04.000000000,-0.2008433,-78.4890767,10,0.0,2018324,tld12,2018-03-24,POINT (-78.4890767 -0.2008433),0 days 00:06:47,6.783333333333333,8,1,2018-03-24 19:34:00.789999872
0,2018-05-20 19:20:46.000000000,-0.3603018,-78.5621939,10,0.0,2018520,tld12,2018-05-20,POINT (-78.5621939 -0.3603018),0 days 00:02:18.384000,2.3064000000000004,9,0,2018-05-20 19:36:17.655000064
0,2018-06-27 07:51:24.824000000,-0.19557815,-78.49557435,29,,2018627,tld12,2018-06-27,POINT (-78.495552 -0.1956392),0 days 00:06:41.075000064,6.684583334400001,11,0,2018-06-27 08:22:23.316999936
1,2018-06-27 08:22:23.316999936,-0.1965084,-78.4893738,100,,2018627,tld12,2018-06-27,POINT (-78.4893738 -0.1965084),0 days 00:06:22.376000,6.372933333333334,11,0,2018-06-27 08:29:00.940000000
2,2018-06-27 08:29:00.940000000,-0.1963336,-78.4922529,100,,2018627,tld12,2018-06-27,POINT (-78.4922529 -0.1963336),0 days 00:06:37.623000064,6.627050001066667,11,0,2018-06-27 08:35:21.112999936
